code,name,location,lat,lon
CQF,CALAIS DUNKERQUE,CALAIS,50.962,1.955
N/A,PERONNE ST QUENTIN,PERONNE,49.869,3.028
N/A,LES LOGES,NANGIS,48.594,3.005
N/A,COUTERNE,BAGNOLE-DE-L'ORNE,48.546,-0.387
N/A,BRAY,ALBERT,49.971,2.700
LTQ,LE TOUQUET PARIS PLAGE,LE TOURQUET,50.515,1.627
N/A,DENAIN,VALENCIENNES,50.326,3.461
N/A,GLISY,AMIENS,49.871,2.386
AGF,LA GARENNE,AGEN,44.175,0.591
N/A,CAZAUX,CAZAUX,44.533,-1.125
BOD,MERIGNAC,BORDEAUX,44.828,-0.716
EGC,ROUMANIERE,BERGERAC,44.825,0.519
N/A,FRANCAZAL,TOULOUSE,43.546,1.367
CNG,CHATEAUBERNARD,COGNAC,45.658,-0.318
PIS,BIARD,POITIERS,46.588,0.307
MCU,MONTLUCON GUERET,MONTLUCON-GUERET,46.224,2.363
LIG,BELLEGARDE,LIMOGES,45.863,1.179
N/A,MONT DE MARSAN,MONT-DE-MARSAN,43.912,-0.507
NIT,SOUCHE,NIORT,46.311,-0.401
TLS,BLAGNAC,TOULOUSE,43.629,1.364
PUF,PAU PYRENEES,PAU,43.380,-0.419
LRH,LHERM,LA ROCHELLE,43.449,1.263
LDE,LOURDES,TARBES,43.179,-0.006
ANG,BRIE CHAMPNIERS,ANGOULEME,45.729,0.221
BVE,LA ROCHE,BRIVE,45.151,1.469
PGX,BASSILLAC,PERIGUEUX,45.198,0.816
BIQ,ANGLET,BIARRITZ-BAYONNE,43.468,-1.523
N/A,LALBENQUE,CAHORS,44.351,1.475
N/A,ANTICHAN,ST.-GIRONS,43.008,1.103
XAC,LA TESTE DE BUCH,ARCACHON,44.596,-1.111
LBI,LE SEQUESTRE,ALBI,43.914,2.113
DCM,MAZAMET,CASTRES,43.556,2.289
N/A,LASBORDES,TOULOUSE,43.586,1.499
N/A,LARZAC,MILLAU,43.990,3.183
RDZ,MARCILLAC,RODEZ,44.408,2.482
N/A,THALAMY,USSEL,45.535,2.424
N/A,VILLENEUVE SUR LOT,VILLENEUVE-SUR-LOT,44.397,0.759
RYN,MEDIS,ROYAN,45.628,-0.973
N/A,MIMIZAN,MIMIZAN,44.146,-1.174
N/A,AIRE SUR L ADOUR,AIRE-SUR-L'ADOUR,43.709,-0.245
N/A,MONTAUBAN,MONTAUBAN,44.026,1.378
N/A,LAMOTHE,AUCH,43.688,0.602
